# #q, USAXS_int, USAXS_sub
4.362573838644623597e-04,6.492726701851415927e-02,1.894342511584892752e-03
4.452276242834135090e-04,6.238251761389805583e-02,2.037709558879677307e-03
4.543823090605570683e-04,5.971443979274411451e-02,1.560974126076412893e-03
4.637252307053117977e-04,5.701959754636182903e-02,1.556929717603169894e-03
4.732602597079438767e-04,5.460834251725431993e-02,1.639234698883426655e-03
4.829913461429976716e-04,5.264976179190864608e-02,1.954511111141789270e-03
4.929225213056891760e-04,5.010550083771403429e-02,1.644169175796329763e-03
5.030578993819514056e-04,4.778380103473654772e-02,1.404247246876252908e-03
5.134016791528185370e-04,4.581431985671845925e-02,1.736220449866501814e-03
5.239581457338508092e-04,4.382847952944068232e-02,1.854914969941605374e-03
5.347316723503326222e-04,4.161246208004557717e-02,1.265503151220599698e-03
5.457267221489637415e-04,3.985911570627587164e-02,1.487548786342191010e-03
5.569478500468081359e-04,3.821002065314603457e-02,1.646832231567800509e-03
5.683997046182598205e-04,3.674343645307885653e-02,1.863588442989623506e-03
5.800870300208035152e-04,3.519992407168653914e-02,1.369376004787939416e-03
5.920146679603795811e-04,3.389503765658861967e-02,1.680617978534658385e-03
6.041875596971530522e-04,3.269263510319977972e-02,1.717507092270954827e-03
6.166107480925302718e-04,3.144925802364589851e-02,1.739439203942622081e-03
6.292893796982654492e-04,3.024685233020303968e-02,1.857962170959511633e-03
6.422287068885177775e-04,2.917811193231684488e-02,1.782387834601113774e-03
6.554340900357562890e-04,2.814679603231405938e-02,1.872497184122592917e-03
6.689109997313955319e-04,2.716479915863123304e-02,1.931451673024164872e-03
6.826650190520988171e-04,2.612585631579453227e-02,2.092565850383767967e-03
6.967018458726799337e-04,2.541228041242708791e-02,2.142377048760642222e-03
7.110272952265556936e-04,2.431994983662962018e-02,2.133229026270895556e-03
7.256473017147446053e-04,2.332636715074293612e-02,2.099261321497025018e-03
7.405679219643877820e-04,2.220041985198302828e-02,1.796184170427192472e-03
7.557953371378292335e-04,2.155369142212177486e-02,2.088029336724247370e-03
7.713358554932836899e-04,2.052264101808339014e-02,1.883400328102628751e-03
7.871959149981594623e-04,1.965375916784135868e-02,1.804554101478939715e-03
8.033820859961123039e-04,1.894669563594985479e-02,2.034526127639907367e-03
8.199010739289390838e-04,1.803398402511735554e-02,1.909547159743365391e-03
8.367597221144417721e-04,1.723130918113814289e-02,1.891219881209299514e-03
8.539650145814064357e-04,1.653138964351450954e-02,1.949094081484461713e-03
8.715240789628778345e-04,1.579965689318301586e-02,1.924449947511921305e-03
8.894441894489170343e-04,1.503230198437568478e-02,1.878228493121596523e-03
9.077327698000858336e-04,1.456463601160937725e-02,1.868672387225421908e-03
9.263973964228801187e-04,1.386168895441507870e-02,1.832198181324552755e-03
9.454458015084087411e-04,1.335848509120607028e-02,1.841248617250110589e-03
9.648858762356098562e-04,1.271375505568996672e-02,1.807500141217183859e-03
9.847256740403212676e-04,1.221220678944619047e-02,1.703271822126482468e-03
1.004973413951583665e-03,1.183060897672508389e-02,1.744084261477502756e-03
1.025637483996528869e-03,1.122949319860849608e-02,1.663399323958472328e-03
1.046726444675289422e-03,1.070248393720510741e-02,1.513969604207599309e-03
1.068249032507357981e-03,1.035808346323817235e-02,nan
1.090214163650856695e-03,9.968895341010515151e-03,1.632960464416662386e-03
1.112630937596239666e-03,9.487073075752546977e-03,1.637750665444685783e-03
1.135508640935931849e-03,9.011587518096246183e-03,1.574182086870233588e-03
1.158856751211484936e-03,8.758292382395947359e-03,1.621910982213819671e-03
1.182684940839837063e-03,8.214512846498798343e-03,1.395567639686213189e-03
1.207003081120304596e-03,7.886721005570404563e-03,1.350411056430342316e-03
1.231821246323962877e-03,7.491141262158915876e-03,1.280162655455828989e-03
1.257149717867107929e-03,7.281934027061975380e-03,1.299747785561508606e-03
1.282998988570542521e-03,6.894145911824757153e-03,1.107251073257346438e-03
1.309379767006429995e-03,6.578837744426592991e-03,1.140092833033306934e-03
1.336302981934538604e-03,6.355346825736896826e-03,1.152565523087393205e-03
1.363779786829692840e-03,nan,nan
1.391821564502318054e-03,5.764221760395921504e-03,1.043698149404852227e-03
1.420439931813999778e-03,5.535455919387658776e-03,9.943812018781798823e-04
1.449646744489995875e-03,5.189584252267563300e-03,8.427427717917360464e-04
1.479454102030709674e-03,4.983543398726999335e-03,8.246955449094407753e-04
1.509874352724144405e-03,4.834755149202140702e-03,8.944393569461275145e-04
1.540920098761423395e-03,4.563907242124008203e-03,8.203105430063749835e-04
1.572604201457501304e-03,4.396405206431825557e-03,7.766315243785287294e-04
1.604939786579215929e-03,4.132284703262955640e-03,6.752715415621474149e-04
1.637940249782900799e-03,3.934156327036339267e-03,6.390916646052103266e-04
1.671619262163798973e-03,3.774401823576389522e-03,6.195146156959376385e-04
1.705990775919581301e-03,3.578027415087789778e-03,5.084029777564008298e-04
1.741069030130325355e-03,3.473151880688023219e-03,5.446979277563884433e-04
1.776868556657332015e-03,3.268291752089752880e-03,4.927962705559615214e-04
1.813404186163245207e-03,3.148657826352928377e-03,4.595083253580594697e-04
1.850691054255934609e-03,3.007628815980665886e-03,4.425737303301105485e-04
