# #q, WAXS_int
1.979744720560300708e+00,1.072051757812500000e+03
1.981465454196393638e+00,1.071403564453125000e+03
1.983186187832486347e+00,1.067218627929687500e+03
1.984906921468578833e+00,1.065003417968750000e+03
1.986627655104671764e+00,1.065430175781250000e+03
1.988348388740764250e+00,1.065361083984375000e+03
1.990069122376856958e+00,1.053753540039062500e+03
1.991789856012949445e+00,1.054341064453125000e+03
1.993510589649042375e+00,1.052742187500000000e+03
1.995231323285135083e+00,1.053807250976562500e+03
1.996952056921228014e+00,1.055024536132812500e+03
1.998672790557320500e+00,1.054929809570312500e+03
2.000393524193412986e+00,1.051472290039062500e+03
2.002114257829505473e+00,1.047307983398437500e+03
2.003834991465598403e+00,1.045015136718750000e+03
2.005555725101691333e+00,1.048076660156250000e+03
2.007276458737783820e+00,1.044704345703125000e+03
2.008997192373876750e+00,1.039496215820312500e+03
2.010717926009969236e+00,1.035478637695312500e+03
2.012438659646061723e+00,1.033274780273437500e+03
2.014159393282154209e+00,1.037707763671875000e+03
2.015880126918247139e+00,1.033389770507812500e+03
2.017600860554340070e+00,1.030230957031250000e+03
2.019321594190432556e+00,1.025552612304687500e+03
2.021042327826525487e+00,1.028420410156250000e+03
2.022763061462617973e+00,1.031356689453125000e+03
2.024483795098710459e+00,1.027626342773437500e+03
2.026204528734802945e+00,1.024701538085937500e+03
2.027925262370895876e+00,1.019687133789062500e+03
2.029645996006988806e+00,1.018867370605468750e+03
2.031366729643081737e+00,1.020856140136718750e+03
2.033087463279174223e+00,1.017665954589843750e+03
2.034808196915266709e+00,1.016759094238281250e+03
2.036528930551359196e+00,1.013444519042968750e+03
2.038249664187451682e+00,1.011996826171875000e+03
2.039970397823544612e+00,1.008292480468750000e+03
2.041691131459637543e+00,1.005725952148437500e+03
2.043411865095730473e+00,1.004693298339843750e+03
2.045132598731822959e+00,1.005463928222656250e+03
2.046853332367915446e+00,1.003449707031250000e+03
2.048574066004007932e+00,1.001992248535156250e+03
2.050294799640100862e+00,9.971705932617187500e+02
2.052015533276193349e+00,9.982991333007812500e+02
2.053736266912286279e+00,9.982222290039062500e+02
2.055457000548379209e+00,9.939127807617187500e+02
2.057177734184471696e+00,9.930918579101562500e+02
2.058898467820564182e+00,9.892320556640625000e+02
2.060619201456656668e+00,9.907492065429687500e+02
2.062339935092749599e+00,9.883015136718750000e+02
2.064060668728842085e+00,9.864924316406250000e+02
2.065781402364935015e+00,9.851350708007812500e+02
2.067502136001027946e+00,9.782091674804687500e+02
2.069222869637120432e+00,9.785158081054687500e+02
2.070943603273212918e+00,9.788711547851562500e+02
2.072664336909305405e+00,9.746625976562500000e+02
2.074385070545398335e+00,9.784848632812500000e+02
2.076105804181490821e+00,9.775924682617187500e+02
2.077826537817583752e+00,9.716572875976562500e+02
2.079547271453676682e+00,9.706738281250000000e+02
2.081268005089769169e+00,9.679183959960937500e+02
2.082988738725861655e+00,9.663144531250000000e+02
2.084709472361954141e+00,9.660211791992187500e+02
2.086430205998047072e+00,9.649254150390625000e+02
2.088150939634139558e+00,9.595574951171875000e+02
2.089871673270232488e+00,9.584186401367187500e+02
2.091592406906325419e+00,9.537225341796875000e+02
2.093313140542417905e+00,9.536326904296875000e+02
2.095033874178510391e+00,9.527061767578125000e+02
2.096754607814603322e+00,9.553719482421875000e+02
2.098475341450695808e+00,9.509205322265625000e+02
2.100196075086788294e+00,9.485753784179687500e+02
2.101916808722881225e+00,9.481182250976562500e+02
2.103637542358974155e+00,9.410698242187500000e+02
2.105358275995066641e+00,9.455971069335937500e+02
2.107079009631159128e+00,9.451378784179687500e+02
2.108799743267252058e+00,9.409910278320312500e+02
2.110520476903344544e+00,9.383516845703125000e+02
2.112241210539437031e+00,9.356068725585937500e+02
2.113961944175529961e+00,9.335942993164062500e+02
2.115682677811622892e+00,9.332843627929687500e+02
2.117403411447715378e+00,9.294359741210937500e+02
2.119124145083807864e+00,9.246405029296875000e+02
2.120844878719900795e+00,9.306718139648437500e+02
2.122565612355993281e+00,9.280300903320312500e+02
2.124286345992086211e+00,9.259362182617187500e+02
2.126007079628178698e+00,9.262568969726562500e+02
2.127727813264271628e+00,9.251670532226562500e+02
2.129448546900364114e+00,9.232557983398437500e+02
